"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop","WT","P3_NP","Test_Prop_Flu","Test_Prop_Cell","Test_Sum","Test_Log","Mean_Log","Mean_Gain","Mean_Sum","Cell.ID","Test_Gain","Threshold"
"MDCK",0.6,0,0,0,0,1,0,1,2,4,19538,0.00020472924557273,1,4,"0",1,0.00020472924557273,4,0.602059991327962,0,0,0,1904,0.025232879516839,0.000113404936774418
"MDCK",0.6,0,0,0,1,0,1,1,1,4,19523,0.000204886544076218,1,4,"0",1,0.000204886544076218,4,0.602059991327962,0,0,0,1905,0.000768324540285774,0.000113404936774418
"MDCK",0.6,0,1,1,0,2,1,1,3,9,43816,0.000205404418477269,1,9,"0",1,0.000205404418477269,9,0.954242509439325,0,0,0,1906,0.00252761548292863,0.000113404936774418
"MDCK",0.6,1,1,1,1,3,0,1,2,10,48577,0.000205858739732795,1,10,"1",1,0.000205858739732795,10,1,0,0,0,1907,0.00221183779246227,0.000113404936774418
"MDCK",0.6,1,0,0,0,2,0,1,0,4,19173,0.000208626714650811,1,4,"0",1,0.000208626714650811,4,0.602059991327962,0,0,0,1908,0.0134459917592448,0.000113404936774418
"MDCK",0.6,0,1,0,0,1,0,0,2,4,18850,0.000212201591511936,1,4,"0",1,0.000212201591511936,4,0.602059991327962,0,0,0,1909,0.017135278514589,0.000113404936774418
"MDCK",0.6,0,2,0,0,3,0,1,2,8,37275,0.000214621059691482,1,8,"0",1,0.000214621059691482,8,0.903089986991944,0,0,0,1910,0.0114017437961099,0.000113404936774418
"MDCK",0.6,0,0,1,0,1,0,0,1,3,13710,0.000218818380743983,1,3,"0",1,0.000218818380743983,3,0.477121254719662,0,0,0,1911,0.0195568927789935,0.000113404936774418
"MDCK",0.6,2,0,0,1,2,0,2,3,10,45499,0.000219785050220884,1,10,"0",1,0.000219785050220884,10,1,0,0,0,1912,0.00441767950943969,0.000113404936774418
"MDCK",0.6,0,1,0,1,2,0,2,2,8,36221,0.000220866348251015,1,8,"0",1,0.000220866348251015,8,0.903089986991944,0,0,0,1913,0.00491979790729135,0.000113404936774418
