"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","mVarPB2","mVarPB1","mVarPA","mVarHA","mVarNP","mVarNA","mVarM","mVarNS","mHelperPB2","mHelperPB1","mHelperPA","mHelperHA","mHelperNP","mHelperNA","mHelperM","mHelperNS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop","WT","VAR","HELPER","HELPER_Segments","WT_Test_Prop","VAR_Test_Prop","WT_Prop","VAR_Prop","Test_Prop_Flu","Test_Prop_Cell","Test_Sum","HELPER_Prop","Purity","Test_Log","Minor_Frac","Mean_Log","Mean_Gain","Mean_Sum","Cell.ID","Test_Gain","Threshold"
"DF1",0.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,2,78,87,12,15,18,218,1352,0.161242603550296,0.0014792899408284,1,1,216,8,0.5,0.5,0.00458715596330275,0.00458715596330275,0.00917431192660551,0.0014792899408284,2,0.990825688073395,0.5,0.301029995663981,0.150514997831991,0,0,0,41,-0.333333333333333,0.000168154525238337
"DF1",0.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,24,35,13,12,13,105,1649,0.0636749545178896,0.000606428138265616,1,0,104,8,1,0,0.00952380952380952,0,0.00952380952380952,0.000606428138265616,1,0.990476190476191,1,0,0,0,0,0,42,-0.5,0.000168154525238337
"DF1",0.02,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,5,3,94,85,62,23,53,330,2294,0.143853530950305,0.001743679163034,2,2,326,8,0.5,0.5,0.00606060606060606,0.00606060606060606,0.0121212121212121,0.001743679163034,4,0.987878787878788,0.5,0.602059991327962,0.301029995663981,0,0,0,43,3,0.000168154525238337
"DF1",0.02,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,2,15,4,152,121,61,40,107,510,2658,0.191873589164786,0.00300978179082017,8,0,502,8,1,0,0.0156862745098039,0,0.0156862745098039,0.00300978179082017,8,0.984313725490196,1,0.903089986991944,0,0,0,0,44,1,0.000168154525238337
"DF1",0.02,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,2,1,49,40,18,24,13,153,4007,0.038183179435987,0.000748689792862491,2,1,150,8,0.666666666666667,0.333333333333333,0.0130718954248366,0.0065359477124183,0.0196078431372549,0.000748689792862491,3,0.980392156862745,0.666666666666667,0.477121254719662,0.159040418239887,0,0,0,46,2,0.000168154525238337
"DF1",0.02,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,2,6,2,71,53,25,21,66,251,1796,0.139755011135857,0.00278396436525612,3,2,246,8,0.6,0.4,0.0119521912350598,0.00796812749003984,0.0199203187250996,0.00278396436525612,5,0.9800796812749,0.6,0.698970004336019,0.279588001734408,0,0,0,47,0.666666666666667,0.000168154525238337
"DF1",0.02,0,1,1,0,2,1,2,0,0,0,0,2,1,1,0,1,3,3,4,112,150,60,96,162,602,3083,0.195264352903017,0.00389231268245216,7,5,590,8,0.583333333333333,0.416666666666667,0.0116279069767442,0.00830564784053156,0.0199335548172757,0.00389231268245216,12,0.980066445182724,0.583333333333333,1.07918124604762,0.449658852519844,0,0,0,48,1.4,0.000168154525238337
"DF1",0.02,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,2,23,25,13,6,23,100,2384,0.0419463087248322,0.000838926174496644,1,1,98,8,0.5,0.5,0.01,0.01,0.02,0.000838926174496644,2,0.98,0.5,0.301029995663981,0.150514997831991,0,0,0,49,-0.833333333333333,0.000168154525238337
"DF1",0.02,0,0,0,2,0,0,1,0,0,1,0,2,0,0,0,1,1,2,5,84,66,53,37,72,327,3062,0.106792945787067,0.00228608752449379,3,4,320,8,0.428571428571429,0.571428571428571,0.00917431192660551,0.0122324159021407,0.0214067278287462,0.00228608752449379,7,0.978593272171254,0.571428571428571,0.845098040014257,0.362184874291824,0,0,0,50,2.5,0.000168154525238337
"DF1",0.02,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,4,27,38,15,21,27,137,877,0.156214367160775,0.00342075256556442,1,2,134,8,0.333333333333333,0.666666666666667,0.0072992700729927,0.0145985401459854,0.0218978102189781,0.00342075256556442,3,0.978102189781022,0.666666666666667,0.477121254719662,0.159040418239887,0,0,0,51,-0.571428571428571,0.000168154525238337
